,Unnamed: 0,Temas,Sector,ok,Desarrollo,Objetivo,Importancia,Recursos,Responsable,Tiempo Ejec,u$s invertido,u$s Ganados
0,,5 S,Administración,_,Establecer el programa 5 s en la planta en sectores claves (Terminacion y Ribera),"Mejorar el lay out, la gestion de stock, obtener recursos de la venta de inmobilizados p/ aumentar la rentabilidad, favorecer el criterio de trabajo organizado",Importante,Tiempo ,ELP - MM,365 dias,0.0,0.0
2,,Adecuar instalaciones del pelambre,Pelambre,_,"Subir el tablero, modificar la valvula de agua de facil acceso","Evitar tiempos muertos, disminuir las situaciones de  riesgo",Critico,u$s,ELP - MM,30 dias,,
3,,Agregado de quimicos,Recurtido,_,Analizar las metodologias de trabajo y las acciones de contencion (Capacitacion y ducha de emergencia),"Evitar acciones inseguras, capacitar al personal involucrado como accionar frente a un evento (Especialista en Hig. Y Seg. Preguntar quien es en la Hermida)",Critico,Tiempo ,ELP - MM,120 días,0.0,0.0
4,,Agua Caliente Recurtido,Recurtido,_,Mejorar las instalaciones actuales revisar por que no cumple con los requerimientos min.,"Mejorar procesos qcos y productivos, lograr consistencia de calidad.",Critico,u$s,ELP - MM,_,0.0,0.0
5,,Agua en FC 3  y FC 2,Curtido,ok,Colocar el agua en las tinas no hay bajada de agua,,Critico,u$s,ELP - MM,10 dias,,
6,,Agua en maquinas,Ribera,_,Colocar las bajadas en forma adecuada y con caudal para maquinas y filtros,"Mejorar procesos qcos y productivos, lograr consistencia de calidad.",Critico,u$s,ELP - MM,_,0.0,0.0
7,,Agua para Limpieza,Ribera,_,Colocar como mínimo 4 bajadas de agua con caudal p/ limpieza del sector,"Mejorar procesos qcos y productivos, lograr consistencia de calidad.",Critico,u$s,ELP - MM,_,0.0,0.0
8,,Aislar Maq. Trinchadora,Ribera,ok,Construir una caja aislante que contenga el ruido,Evitar accidentes ,Importante,u$s,ELP - MM,_,0.0,0.0
11,,Baldosas Antideslizantes,Ribera,ok,Colocar en plataforma de trinchado como prueba,Mejorar la seguridad en el trabajo y la productividad.,Critico,u$s,ELP - MM,_,0.0,0.0
13,,Barandas en plataforma,Pelambre,_,Construir barandas que impidan que los fuloneros subir por el reductor y los proteja de caídas,Evitar accidentes ,Critico,u$s,ELP - MM,_,0.0,0.0
